,short_name,age,dob,club_name,overall,MonthName,MonthNumber,DayOfYear
8,V. van Dijk,28,1991-07-08,Liverpool,90,July,7,189
9,Alisson,27,1992-10-02,Liverpool,90,October,10,276
10,S. Mané,28,1992-04-10,Liverpool,90,April,4,101
11,M. Salah,28,1992-06-15,Liverpool,90,June,6,167
29,T. Alexander-Arnold,21,1998-10-07,Liverpool,87,October,10,280
32,Fabinho,26,1993-10-23,Liverpool,87,October,10,296
33,A. Robertson,26,1994-03-11,Liverpool,87,March,3,70
47,Roberto Firmino,28,1991-10-02,Liverpool,87,October,10,275
56,J. Henderson,30,1990-06-17,Liverpool,86,June,6,168
85,G. Wijnaldum,29,1990-11-11,Liverpool,85,November,11,315
92,Thiago,29,1991-04-11,Liverpool,85,April,4,101
146,J. Gomez,23,1997-05-23,Liverpool,83,May,5,143
165,J. Matip,28,1991-08-08,Liverpool,83,August,8,220
291,N. Keïta,25,1995-02-10,Liverpool,81,February,2,41
337,X. Shaqiri,28,1991-10-10,Liverpool,81,October,10,283
374,Diogo Jota,23,1996-12-04,Liverpool,80,December,12,339
431,J. Milner,34,1986-01-04,Liverpool,80,January,1,4
572,A. Oxlade-Chamberlain,26,1993-08-15,Liverpool,79,August,8,227
743,L. Karius,27,1993-06-22,Liverpool,78,June,6,173
925,H. Wilson,23,1997-03-22,Liverpool,77,March,3,81
937,D. Origi,25,1995-04-18,Liverpool,77,April,4,108
981,T. Minamino,25,1995-01-16,Liverpool,77,January,1,16
1244,K. Tsimikas,24,1996-05-12,Liverpool,76,May,5,133
1423,Adrián,33,1987-01-03,Liverpool,76,January,1,3
1593,M. Grujić,24,1996-04-13,Liverpool,75,April,4,104
4516,R. Brewster,20,2000-04-01,Liverpool,70,April,4,92
6554,N. Phillips,23,1997-03-21,Liverpool,68,March,3,80
7316,N. Williams,19,2001-04-13,Liverpool,67,April,4,103
8447,B. Woodburn,20,1999-10-15,Liverpool,66,October,10,288
9567,H. Elliott,17,2003-04-04,Liverpool,65,April,4,94
9577,S. van den Berg,18,2001-12-20,Liverpool,65,December,12,354
10734,C. Jones,19,2001-01-30,Liverpool,64,January,1,30
13978,C. Kelleher,21,1998-11-23,Liverpool,61,November,11,327
